datetime,open,high,low,close,volume
2023-01-01,0.2457,0.2499,0.2431,0.2498,370864237.0
2023-01-02,0.2498,0.2566,0.2464,0.2535,508893524.0
2023-01-03,0.2536,0.2553,0.25,0.2526,447189214.0
2023-01-04,0.2525,0.2708,0.2516,0.2675,1024979473.0
2023-01-05,0.2675,0.2715,0.263,0.2691,689649566.0
2023-01-06,0.2691,0.2798,0.267,0.2784,1503479068.0
2023-01-07,0.2783,0.2808,0.272,0.2766,518900498.0
2023-01-08,0.2767,0.3085,0.274,0.2975,1515064293.0
2023-01-09,0.2975,0.3467,0.2954,0.3168,2740636621.0
2023-01-10,0.3168,0.3254,0.306,0.3223,1261298457.0
2023-01-11,0.3223,0.3235,0.3075,0.323,1008913032.0
2023-01-12,0.3231,0.3352,0.3142,0.3293,1391534713.0
2023-01-13,0.3293,0.3511,0.3235,0.3455,1059740700.0
2023-01-14,0.3456,0.3706,0.3315,0.3525,1467767450.0
2023-01-15,0.3525,0.3539,0.3386,0.351,690223786.0
2023-01-16,0.351,0.3641,0.3372,0.3503,934427622.0
2023-01-17,0.3503,0.3577,0.3429,0.3455,660267003.0
2023-01-18,0.3454,0.3556,0.3218,0.3265,1055476461.0
2023-01-19,0.3264,0.343,0.3255,0.338,657159246.0
2023-01-20,0.338,0.3657,0.3334,0.365,839095555.0
2023-01-21,0.3649,0.3809,0.357,0.3687,971360899.0
2023-01-22,0.3687,0.3875,0.3628,0.3764,990837206.0
2023-01-23,0.3765,0.3839,0.3687,0.375,826352716.0
2023-01-24,0.375,0.3832,0.3551,0.3587,646073774.0
2023-01-25,0.3588,0.3798,0.3467,0.3733,856708233.0
2023-01-26,0.3734,0.3894,0.3711,0.3796,813080062.0
2023-01-27,0.3796,0.3915,0.3676,0.39,665400537.0
2023-01-28,0.3899,0.3981,0.3781,0.3818,654541318.0
2023-01-29,0.3818,0.3992,0.3766,0.3977,591615938.0
2023-01-30,0.3977,0.3984,0.3647,0.3723,830497227.0
2023-01-31,0.3723,0.3999,0.3682,0.3901,987301576.0
2023-02-01,0.3902,0.4019,0.3705,0.397,973119365.0
2023-02-02,0.3971,0.4139,0.3918,0.3983,1027613404.0
2023-02-03,0.3982,0.4076,0.3944,0.404,636353878.0
2023-02-04,0.4041,0.4059,0.3974,0.3993,409872842.0
2023-02-05,0.3994,0.402,0.382,0.3922,624255698.0
2023-02-06,0.3922,0.4035,0.3792,0.382,794928183.0
2023-02-07,0.382,0.4,0.3813,0.3989,805317090.0
2023-02-08,0.399,0.4037,0.3853,0.3944,693499207.0
2023-02-09,0.3944,0.3959,0.3536,0.362,1059500144.0
2023-02-10,0.362,0.3656,0.3536,0.3577,819481319.0
2023-02-11,0.3577,0.3701,0.3564,0.3683,400581677.0
2023-02-12,0.3683,0.3737,0.3591,0.3641,450056177.0
2023-02-13,0.3641,0.3655,0.3445,0.3589,840745491.0
2023-02-14,0.359,0.393,0.3542,0.3867,1103754323.0
2023-02-15,0.3867,0.4207,0.3816,0.4193,1054724783.0
2023-02-16,0.4193,0.422,0.3865,0.3875,1139609274.0
2023-02-17,0.3876,0.4099,0.3855,0.4033,849504269.0
2023-02-18,0.4033,0.4189,0.3976,0.4061,588234940.0
2023-02-19,0.4062,0.4123,0.3965,0.3994,688370102.0
2023-02-20,0.3994,0.4097,0.3891,0.404,725605170.0
2023-02-21,0.4039,0.4062,0.3848,0.3925,767233523.0
2023-02-22,0.3926,0.393,0.3766,0.3889,837425451.0
2023-02-23,0.3889,0.3949,0.3792,0.3822,614359829.0
2023-02-24,0.3821,0.3852,0.3576,0.3656,846834787.0
2023-02-25,0.3656,0.3674,0.3507,0.3617,534249482.0
2023-02-26,0.3617,0.3702,0.3575,0.3688,391368289.0
2023-02-27,0.3688,0.3698,0.3571,0.3646,528219149.0
2023-02-28,0.3646,0.3679,0.3481,0.3516,524327973.0
2023-03-01,0.3515,0.3644,0.349,0.3599,485648531.0
2023-03-02,0.36,0.3613,0.3442,0.3502,582059526.0
2023-03-03,0.3503,0.3508,0.317,0.3428,950263624.0
2023-03-04,0.3427,0.3446,0.33,0.3364,407424614.0
2023-03-05,0.3363,0.3429,0.3341,0.3367,402948885.0
2023-03-06,0.3367,0.3386,0.3288,0.3302,537379882.0
2023-03-07,0.3303,0.3347,0.3204,0.3303,779312817.0
2023-03-08,0.3303,0.3327,0.3128,0.3175,854946154.0
2023-03-09,0.3174,0.322,0.3002,0.3097,1156980906.0
2023-03-10,0.3097,0.318,0.297,0.3146,1300763592.0
2023-03-11,0.3146,0.3227,0.301,0.3049,933716536.0
2023-03-12,0.3049,0.3311,0.3011,0.33,951387217.0
2023-03-13,0.33,0.351,0.3272,0.3433,1345519674.0
2023-03-14,0.3433,0.3681,0.3364,0.3431,1345372967.0
2023-03-15,0.3431,0.3466,0.3158,0.324,1352510133.0
2023-03-16,0.3239,0.3288,0.3168,0.3246,941405609.0
2023-03-17,0.3246,0.3502,0.3209,0.3494,1057270976.0
2023-03-18,0.3493,0.3575,0.335,0.3371,948728791.0
2023-03-19,0.337,0.3527,0.3367,0.3447,722770799.0
2023-03-20,0.3448,0.346,0.3302,0.332,967114988.0
2023-03-21,0.3319,0.3871,0.3287,0.3694,1885610841.0
2023-03-22,0.3694,0.3868,0.3488,0.3595,2191600605.0
2023-03-23,0.3594,0.3853,0.3533,0.3715,1067990293.0
2023-03-24,0.3716,0.3724,0.355,0.3596,789146235.0
2023-03-25,0.3595,0.3627,0.3483,0.351,467961672.0
2023-03-26,0.3511,0.3612,0.3485,0.3555,423411891.0
2023-03-27,0.3555,0.357,0.3358,0.3452,723286784.0
2023-03-28,0.3452,0.37,0.3425,0.3679,851190971.0
2023-03-29,0.3679,0.3899,0.3666,0.3809,912625702.0
2023-03-30,0.381,0.3874,0.3696,0.3758,791127332.0
2023-03-31,0.3758,0.4091,0.374,0.399,1360271672.0
2023-04-01,0.3989,0.4028,0.3876,0.3919,641602367.0
2023-04-02,0.392,0.3926,0.375,0.3813,553176881.0
2023-04-03,0.3812,0.4048,0.3702,0.387,1402608227.0
2023-04-04,0.3871,0.4004,0.384,0.3892,642448787.0
2023-04-05,0.3892,0.4,0.3865,0.3921,547484941.0
2023-04-06,0.3921,0.3922,0.3759,0.3829,526729042.0
2023-04-07,0.3828,0.3849,0.3753,0.3832,352192159.0
2023-04-08,0.3832,0.39,0.3802,0.385,371597406.0
2023-04-09,0.385,0.3932,0.3839,0.3891,417653102.0
2023-04-10,0.3891,0.3977,0.3843,0.397,512537101.0
2023-04-11,0.3971,0.4134,0.3956,0.4012,812373316.0
2023-04-12,0.4012,0.4069,0.3883,0.4047,827178243.0
2023-04-13,0.4047,0.4287,0.3984,0.4251,1045928831.0
2023-04-14,0.4252,0.4441,0.4226,0.4378,1234403198.0
2023-04-15,0.4379,0.4624,0.4312,0.4525,1036690794.0
2023-04-16,0.4525,0.4579,0.4425,0.4514,632784766.0
