datetime,open,high,low,close,volume
2024-01-01,38.59,42.063,38.076,41.979,10053059.0
2024-01-02,41.979,43.499,40.306,40.654,13770212.0
2024-01-03,40.655,41.471,32.0,36.768,23253678.0
2024-01-04,36.771,39.451,36.051,38.705,13261499.0
2024-01-05,38.705,38.918,34.883,36.459,14275518.0
2024-01-06,36.458,36.507,33.432,34.616,10713602.0
2024-01-07,34.616,35.773,33.032,33.633,11628274.0
2024-01-08,33.635,36.439,31.145,36.07,22044838.0
2024-01-09,36.073,37.597,33.768,34.64,19931770.0
2024-01-10,34.638,39.532,33.282,38.547,17377159.0
2024-01-11,38.547,41.752,37.518,39.31,19331237.0
2024-01-12,39.31,39.597,34.1,35.929,14784011.0
2024-01-13,35.931,36.636,34.714,36.476,7865260.0
2024-01-14,36.478,37.874,35.27,35.283,11352420.0
2024-01-15,35.287,36.823,35.132,35.602,8170648.0
2024-01-16,35.602,36.559,34.77,35.567,9198700.0
2024-01-17,35.568,36.531,35.241,36.063,11299435.0
2024-01-18,36.064,36.202,32.714,33.587,11339379.0
2024-01-19,33.587,33.752,31.189,32.723,12045007.0
2024-01-20,32.723,32.999,32.027,32.882,6889041.0
2024-01-21,32.881,33.5,32.444,32.534,6446611.0
2024-01-22,32.535,32.741,29.311,29.535,16320108.0
2024-01-23,29.535,30.703,27.205,30.608,21774772.0
2024-01-24,30.609,31.89,29.492,31.179,16966478.0
2024-01-25,31.18,31.346,29.604,30.51,11259704.0
2024-01-26,30.511,33.095,30.111,32.249,12514512.0
2024-01-27,32.249,33.306,31.848,33.256,7064118.0
2024-01-28,33.256,36.709,33.184,34.82,21624313.0
2024-01-29,34.815,36.55,34.323,36.042,14988116.0
2024-01-30,36.041,37.141,35.0,35.214,12880825.0
2024-01-31,35.214,35.489,33.131,33.172,12343294.0
2024-02-01,33.173,33.957,32.221,33.841,9900201.0
2024-02-02,33.842,36.953,33.734,36.761,14323394.0
2024-02-03,36.76,37.618,35.396,35.952,8552399.0
2024-02-04,35.95,36.549,34.636,34.853,7002890.0
2024-02-05,34.854,35.896,34.103,34.53,8309539.0
2024-02-06,34.529,34.737,33.698,34.146,6601210.0
2024-02-07,34.145,35.52,33.616,35.295,8083022.0
2024-02-08,35.294,36.144,35.074,35.422,7358490.0
2024-02-09,35.421,38.618,35.396,38.009,12375414.0
2024-02-10,38.009,41.23,38.007,40.199,12999933.0
2024-02-11,40.199,41.201,39.365,39.73,8721765.0
2024-02-12,39.73,41.242,38.36,41.002,13196017.0
2024-02-13,41.002,41.728,38.864,39.756,11988360.0
2024-02-14,39.755,42.464,39.144,42.253,13215979.0
2024-02-15,42.254,43.7,40.901,41.575,14212706.0
2024-02-16,41.575,41.831,39.391,40.276,9961786.0
2024-02-17,40.276,40.51,38.395,39.782,7347438.0
2024-02-18,39.781,40.793,38.98,40.318,7189759.0
2024-02-19,40.318,40.676,39.095,39.54,9719316.0
2024-02-20,39.541,39.757,36.626,38.523,12478147.0
2024-02-21,38.528,38.577,35.903,37.622,9619153.0
2024-02-22,37.622,38.24,36.531,36.801,8516121.0
2024-02-23,36.8,36.988,35.151,35.943,9909784.0
2024-02-24,35.944,36.984,35.22,36.783,6095658.0
2024-02-25,36.783,37.525,36.438,37.495,6309179.0
2024-02-26,37.495,39.402,36.301,39.338,10611512.0
2024-02-27,39.338,40.02,38.34,39.288,8843062.0
2024-02-28,39.291,41.454,35.346,40.373,18578801.0
2024-02-29,40.373,44.752,39.645,40.997,19326706.0
2024-03-01,40.998,43.432,40.998,42.727,11737935.0
2024-03-02,42.727,44.723,42.02,44.436,10465590.0
2024-03-03,44.43,44.965,40.02,42.647,10951180.0
2024-03-04,42.647,44.096,41.444,43.121,13945661.0
2024-03-05,43.119,45.364,33.793,39.437,28661475.0
2024-03-06,39.436,42.196,37.93,41.598,13968526.0
2024-03-07,41.597,44.6,41.596,43.26,14724823.0
2024-03-08,43.261,44.046,41.107,42.666,10774258.0
2024-03-09,42.665,43.61,42.379,42.973,6133807.0
2024-03-10,42.975,43.994,40.869,42.084,7800623.0
2024-03-11,42.084,49.65,40.0,49.194,24446435.0
2024-03-12,49.179,57.434,46.441,55.555,38413484.0
2024-03-13,55.559,55.609,52.241,54.854,17834681.0
2024-03-14,54.853,59.369,50.522,54.016,24229074.0
2024-03-15,54.019,59.0,48.33,58.457,37817150.0
2024-03-16,58.456,61.515,52.002,53.478,29138568.0
2024-03-17,53.479,58.59,50.107,58.494,20097251.0
2024-03-18,58.49,65.48,55.31,60.696,34473149.0
2024-03-19,60.693,62.0,53.224,53.664,38485866.0
2024-03-20,53.664,58.199,50.445,57.077,28981515.0
2024-03-21,57.077,57.934,52.811,53.86,17504650.0
2024-03-22,53.86,57.804,51.638,53.456,18519604.0
2024-03-23,53.456,56.048,52.65,53.482,9826291.0
2024-03-24,53.483,55.871,52.45,55.733,8117121.0
2024-03-25,55.734,59.249,55.0,57.809,11079739.0
2024-03-26,57.807,59.341,55.402,55.826,9908722.0
2024-03-27,55.827,56.791,53.012,54.146,9740581.0
2024-03-28,54.146,55.112,53.219,54.684,5445014.0
2024-03-29,54.683,54.731,52.57,53.385,5844174.0
2024-03-30,53.391,54.703,52.801,52.98,5034048.0
2024-03-31,52.98,54.361,52.923,54.134,4217732.0
2024-04-01,54.135,54.209,50.239,51.434,10803726.0
2024-04-02,51.435,51.44,46.0,46.904,12741616.0
2024-04-03,46.902,48.342,44.997,45.914,9555335.0
2024-04-04,45.913,48.219,45.454,46.534,7306905.0
2024-04-05,46.534,46.627,44.0,45.337,7165951.0
2024-04-06,45.338,48.88,45.074,48.209,7113150.0
2024-04-07,48.21,49.523,47.906,49.347,4931918.0
2024-04-08,49.348,50.85,48.264,49.906,6814799.0
2024-04-09,49.906,50.013,46.373,46.5,7184694.0
2024-04-10,46.5,48.05,45.1,47.334,9125992.0
2024-04-11,47.334,47.547,45.618,46.064,5634743.0
2024-04-12,46.061,46.919,32.53,39.331,14664868.0
2024-04-13,39.331,39.343,28.53,33.89,26421034.0
2024-04-14,33.89,37.905,32.632,37.248,19885293.0
2024-04-15,37.248,38.582,34.079,35.136,15884104.0
2024-04-16,35.137,35.882,32.666,34.734,13997638.0
2024-04-17,34.733,35.35,32.209,33.55,13016128.0
2024-04-18,33.55,35.595,32.754,34.831,10801955.0
